Wavelength,Flux,BestFit,SkyFlux
4461.696,10.196,9.586,5.527
4462.724,11.433,9.429,5.387
4463.751,10.713,9.317,5.762
4464.779,7.974,9.265,6.147
4465.808,7.771,9.308,6.126
4466.836,9.518,9.488,6.134
4467.865,8.668,9.728,6.400
4468.893,8.996,9.927,6.471
4469.923,12.859,10.050,6.114
4470.952,9.268,10.024,5.477
4471.982,9.764,9.985,5.678
4473.011,8.790,9.957,6.174
4474.041,11.237,10.043,6.122
4475.072,10.241,10.226,5.978
4476.102,11.154,10.274,6.157
4477.133,10.737,10.332,6.377
4478.164,10.744,10.446,6.422
4479.195,10.811,10.372,6.397
4480.227,6.571,10.192,6.115
4481.259,9.196,10.072,5.701
4482.290,9.969,9.920,5.887
4483.323,8.727,9.713,6.296
4484.355,7.970,9.544,6.509
4485.388,9.431,9.256,6.921
4486.421,8.363,8.902,7.060
4487.454,9.298,8.648,6.865
4488.487,7.445,8.526,6.590
4489.521,6.811,8.496,6.182
4490.555,8.029,8.577,6.064
4491.589,7.664,8.661,6.215
4492.623,8.108,8.652,6.270
4493.658,9.425,8.583,6.171
4494.693,8.975,8.609,6.283
4495.728,9.298,8.728,6.289
4496.763,8.022,8.973,6.351
4497.799,7.319,9.214,6.514
4498.834,11.679,9.299,6.806
4499.870,10.395,9.270,7.154
4500.907,8.629,9.370,6.961
4501.943,9.998,9.497,6.752
4502.980,10.567,9.554,6.952
4504.017,8.688,9.655,6.813
4505.054,8.700,9.810,6.686
4506.091,9.511,9.937,6.813
4507.129,10.155,10.005,6.917
4508.167,10.852,10.044,6.875
4509.205,8.970,9.921,6.744
4510.244,7.461,9.768,6.467
4511.282,11.428,9.743,6.238
4512.321,9.326,9.801,6.265
4513.360,8.147,9.744,6.516
4514.400,11.450,9.814,6.430
4515.439,9.162,9.918,6.525
4516.479,8.219,9.967,6.457
4517.519,9.180,9.956,6.348
4518.559,10.299,9.925,6.384
4519.600,9.894,9.890,6.269
4520.641,11.050,9.781,5.980
4521.682,11.258,9.663,6.368
4522.723,9.539,9.540,6.700
4523.765,8.797,9.405,6.711
4524.806,8.745,9.318,6.746
4525.848,9.124,9.381,6.509
4526.891,8.648,9.473,6.233
4527.933,10.472,9.646,6.711
4528.976,10.917,9.790,6.838
4530.019,11.485,9.962,6.145
4531.062,10.896,10.152,6.492
4532.105,11.702,10.139,7.228
4533.149,11.817,10.171,7.213
4534.193,12.125,10.026,6.658
4535.237,10.222,9.760,6.402
4536.282,8.512,9.502,6.619
4537.326,8.919,9.332,6.900
4538.371,9.902,9.291,7.111
4539.416,10.590,9.431,7.305
4540.462,9.741,9.589,7.055
4541.507,8.372,9.732,6.942
4542.553,12.376,9.780,7.041
4543.599,10.413,9.702,7.281
4544.645,9.000,9.607,7.559
4545.692,11.903,9.500,7.496
4546.739,10.293,9.496,7.170
4547.786,11.033,9.509,7.282
4548.833,10.700,9.458,7.408
4549.881,9.775,9.411,7.091
4550.928,9.113,9.510,6.902
4551.976,9.762,9.551,7.014
4553.025,11.279,9.669,6.914
4554.073,11.133,9.815,6.777
4555.122,9.974,9.944,6.722
4556.171,11.026,10.047,6.387
4557.220,11.162,10.118,6.065
4558.270,7.861,10.164,6.536
4559.319,9.459,10.171,6.757
4560.369,10.250,10.118,6.763
4561.419,13.370,10.012,6.874
4562.470,9.554,9.902,6.642
4563.520,11.098,9.842,6.220
4564.571,11.263,9.736,5.845
4565.623,11.356,9.738,5.927
4566.674,10.213,9.682,6.118
4567.726,8.248,9.489,6.068
4568.777,8.670,9.269,6.043
4569.830,8.897,9.176,6.293
4570.882,9.056,9.136,6.477
4571.935,10.421,9.213,6.310
4572.987,8.673,9.245,6.063
4574.040,10.911,9.264,6.307
4575.094,8.767,9.376,6.830
4576.147,8.415,9.497,6.806
4577.201,7.962,9.474,6.460
4578.255,9.825,9.530,6.688
4579.310,9.097,9.545,6.625
4580.364,9.014,9.558,6.277
4581.419,10.142,9.653,6.373
4582.474,8.213,9.706,6.597
4583.529,9.100,9.687,6.523
4584.585,10.292,9.636,6.238
4585.640,9.207,9.679,5.998
