Wavelength,Flux,BestFit,SkyFlux
4369.181,67.582,67.527,5.578
4370.187,68.586,67.604,4.863
4371.193,64.458,67.786,5.671
4372.200,63.735,67.868,5.885
4373.207,64.746,68.447,5.335
4374.214,66.531,68.025,5.766
4375.221,61.865,65.528,5.652
4376.229,62.959,63.204,5.186
4377.236,65.219,64.010,5.261
4378.244,64.595,66.437,5.654
4379.253,66.576,68.437,5.560
4380.261,69.209,68.994,5.227
4381.270,68.327,68.824,5.550
4382.279,67.697,68.998,5.920
4383.288,67.292,65.862,4.884
4384.297,61.114,59.054,3.778
4385.307,58.472,54.407,3.826
4386.317,58.829,56.220,4.605
4387.327,62.508,62.460,5.227
4388.337,63.240,65.863,5.220
4389.348,66.655,66.365,5.190
4390.359,64.288,66.184,5.980
4391.370,65.030,66.068,5.409
4392.381,68.819,66.132,4.535
4393.392,69.187,66.829,5.197
4394.404,66.107,68.089,5.661
4395.416,65.720,66.263,5.243
4396.428,67.057,65.169,5.079
4397.441,66.258,66.061,5.696
4398.453,67.299,68.284,6.528
4399.466,69.311,69.842,6.483
4400.479,67.092,68.427,6.425
4401.493,63.517,65.458,7.061
4402.506,64.133,65.084,6.628
4403.520,70.400,66.810,5.726
4404.534,69.680,67.078,6.124
4405.549,68.004,64.033,6.262
4406.563,66.723,61.379,5.661
4407.578,65.398,64.692,5.427
4408.593,66.664,66.034,5.911
4409.608,70.048,65.796,6.035
4410.624,69.451,66.472,6.138
4411.639,66.387,68.510,6.844
4412.655,68.982,70.140,7.282
4413.671,73.191,71.023,7.327
4414.688,73.330,70.567,6.251
4415.704,71.497,68.144,6.446
4416.721,61.809,65.037,7.761
4417.738,62.425,63.994,7.605
4418.756,69.749,66.349,6.652
4419.773,67.635,67.585,6.673
4420.791,70.357,69.768,7.752
4421.809,70.269,71.424,7.819
4422.827,68.538,70.767,6.760
4423.846,67.522,68.757,6.283
4424.865,67.526,68.697,6.111
4425.884,68.536,69.232,5.981
4426.903,68.380,68.585,6.519
